Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.10     14.22     0.01    20642     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::_M_deallocate(Vec3*, unsigned long)
  0.07     14.23     0.01   521611     0.00     0.01  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.07     14.24     0.01   268186     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::operator[](unsigned long)
  0.07     14.25     0.01   175562     0.00     0.00  __gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >::operator*() const
  0.07     14.26     0.01    54882     0.00     0.00  std::allocator<Vec3>::~allocator()
  0.07     14.27     0.01    39340     0.00     0.00  std::allocator<Vec3>::allocator(std::allocator<Vec3> const&)
  0.07     14.28     0.01    26216     0.00     0.00  __gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >::__normal_iterator(Vec3* const&)
  0.07     14.29     0.01    22049     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::_M_allocate(unsigned long)
  0.07     14.30     0.01    21365     0.00     0.01  Vec3* std::__uninitialized_fill_n_a<Vec3*, unsigned long, Vec3, Vec3>(Vec3*, unsigned long, Vec3 const&, std::allocator<Vec3>&)
  0.07     14.31     0.01    21020     0.00     0.00  __gnu_cxx::new_allocator<Vec3>::deallocate(Vec3*, unsigned long)
  0.07     14.32     0.01    20052     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::_S_max_size(std::allocator<Vec3> const&)
  0.07     14.33     0.01    16643     0.00     0.02  std::vector<Vec3, std::allocator<Vec3> >::vector(unsigned long, Vec3 const&, std::allocator<Vec3> const&)
  0.07     14.34     0.01        2     5.00     5.00  Vec3::cross(Vec3 const&) const
  0.07     14.35     0.01        1    10.00    10.00  __static_initialization_and_destruction_0(int, int)
  0.00     14.35     0.00    64826     0.00     0.00  __gnu_cxx::new_allocator<Vec3>::~new_allocator()
  0.00     14.35     0.00    60506     0.00     0.00  Camera::getRay(double, double) const
  0.00     14.35     0.00    48470     0.00     0.00  __gnu_cxx::new_allocator<Vec3>::_M_max_size() const
  0.00     14.35     0.00    42059     0.00     0.00  __gnu_cxx::new_allocator<Vec3>::new_allocator(__gnu_cxx::new_allocator<Vec3> const&)
  0.00     14.35     0.00    24370     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::_Vector_impl_data::_Vector_impl_data()
  0.00     14.35     0.00    23303     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::_Vector_base(unsigned long, std::allocator<Vec3> const&)
  0.00     14.35     0.00    22983     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     14.35     0.00    21924     0.00     0.00  std::allocator_traits<std::allocator<Vec3> >::allocate(std::allocator<Vec3>&, unsigned long)
  0.00     14.35     0.00    21876     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::_Vector_impl::_Vector_impl(std::allocator<Vec3> const&)
  0.00     14.35     0.00    21568     0.00     0.01  Vec3* std::uninitialized_fill_n<Vec3*, unsigned long, Vec3>(Vec3*, unsigned long, Vec3 const&)
  0.00     14.35     0.00    20764     0.00     0.00  Vec3::operator/(double) const
  0.00     14.35     0.00    20651     0.00     0.00  __gnu_cxx::new_allocator<Vec3>::max_size() const
  0.00     14.35     0.00    19654     0.00     0.00  std::allocator_traits<std::allocator<Vec3> >::deallocate(std::allocator<Vec3>&, Vec3*, unsigned long)
  0.00     14.35     0.00    19160     0.00     0.00  std::allocator_traits<std::allocator<Vec3> >::max_size(std::allocator<Vec3> const&)
  0.00     14.35     0.00    18460     0.00     0.01  std::vector<Vec3, std::allocator<Vec3> >::_M_fill_initialize(unsigned long, Vec3 const&)
  0.00     14.35     0.00    18430     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::~_Vector_base()
  0.00     14.35     0.00    18008     0.00     0.00  Sphere::intersect(Ray const&, double, double, Vec3&, double&, Vec3&) const::{lambda(double)#1}::operator()(double) const
  0.00     14.35     0.00    16905     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Vec3*>(Vec3*, Vec3*)
  0.00     14.35     0.00    15812     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::_Vector_impl::~_Vector_impl()
  0.00     14.35     0.00    15654     0.00     0.00  void std::_Destroy<Vec3*, Vec3>(Vec3*, Vec3*, std::allocator<Vec3>&)
  0.00     14.35     0.00    15282     0.00     0.00  void std::_Destroy<Vec3*>(Vec3*, Vec3*)
  0.00     14.35     0.00    13047     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::end()
  0.00     14.35     0.00    11349     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::~vector()
  0.00     14.35     0.00     3913     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     14.35     0.00     3907     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     14.35     0.00     3894     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00     14.35     0.00     3874     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00     14.35     0.00       24     0.00     0.00  Object** std::__niter_base<Object**>(Object**)
  0.00     14.35     0.00       22     0.00     0.00  Object*&& std::forward<Object*>(std::remove_reference<Object*>::type&)
  0.00     14.35     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >::__normal_iterator(Object** const&)
  0.00     14.35     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >::base() const
  0.00     14.35     0.00       16     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::size() const
  0.00     14.35     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Object*>::_M_max_size() const
  0.00     14.35     0.00       10     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::end()
  0.00     14.35     0.00        9     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::_M_get_Tp_allocator()
  0.00     14.35     0.00        8     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00     14.35     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Object*>::max_size() const
  0.00     14.35     0.00        8     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::_M_get_Tp_allocator() const
  0.00     14.35     0.00        8     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::max_size() const
  0.00     14.35     0.00        8     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00     14.35     0.00        8     0.00     0.00  std::random_device::random_device()
  0.00     14.35     0.00        8     0.00     0.00  std::random_device::operator()()
  0.00     14.35     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<Object*> >::max_size(std::allocator<Object*> const&)
  0.00     14.35     0.00        8     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.00     14.35     0.00        8     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.00     14.35     0.00        8     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00     14.35     0.00        8     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00     14.35     0.00        8     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::_S_max_size(std::allocator<Object*> const&)
  0.00     14.35     0.00        8     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::_S_relocate(Object**, Object**, Object**, std::allocator<Object*>&)
  0.00     14.35     0.00        8     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::_S_do_relocate(Object**, Object**, Object**, std::allocator<Object*>&, std::integral_constant<bool, true>)
  0.00     14.35     0.00        8     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00     14.35     0.00        8     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00     14.35     0.00        8     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00     14.35     0.00        8     0.00     0.00  Object** std::__relocate_a<Object**, Object**, std::allocator<Object*> >(Object**, Object**, Object**, std::allocator<Object*>&)
  0.00     14.35     0.00        8     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Object*, void>::value, Object**>::type std::__relocate_a_1<Object*, Object*>(Object**, Object**, Object**, std::allocator<Object*>&)
  0.00     14.35     0.00        8     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00     14.35     0.00        8     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00     14.35     0.00        6     0.00     0.00  Object::Object(Material*)
  0.00     14.35     0.00        6     0.00     0.00  void __gnu_cxx::new_allocator<Object*>::construct<Object*, Object*>(Object**, Object*&&)
  0.00     14.35     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >::operator*() const
  0.00     14.35     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >::operator-(long) const
  0.00     14.35     0.00        6     0.00     0.00  void std::allocator_traits<std::allocator<Object*> >::construct<Object*, Object*>(std::allocator<Object*>&, Object**, Object*&&)
  0.00     14.35     0.00        6     0.00     0.00  Object*& std::vector<Object*, std::allocator<Object*> >::emplace_back<Object*>(Object*&&)
  0.00     14.35     0.00        6     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::back()
  0.00     14.35     0.00        6     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::push_back(Object*&&)
  0.00     14.35     0.00        6     0.00     0.00  std::remove_reference<Object*&>::type&& std::move<Object*&>(Object*&)
  0.00     14.35     0.00        5     0.00     0.00  AABB::AABB(Material*, Vec3 const&, Vec3 const&)
  0.00     14.35     0.00        5     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::_M_deallocate(Object**, unsigned long)
  0.00     14.35     0.00        5     0.00     0.00  std::random_device::~random_device()
  0.00     14.35     0.00        4     0.00     0.00  Lambertian::Lambertian(Vec3 const&)
  0.00     14.35     0.00        4     0.00     0.00  Material::Material()
  0.00     14.35     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<Object*>::deallocate(Object**, unsigned long)
  0.00     14.35     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<Object*>::allocate(unsigned long, void const*)
  0.00     14.35     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >::difference_type __gnu_cxx::operator-<Object**, std::vector<Object*, std::allocator<Object*> > >(__gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > > const&, __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > > const&)
  0.00     14.35     0.00        4     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::_M_check_len(unsigned long, char const*) const
  0.00     14.35     0.00        4     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::_M_allocate(unsigned long)
  0.00     14.35     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<Object*> >::deallocate(std::allocator<Object*>&, Object**, unsigned long)
  0.00     14.35     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<Object*> >::allocate(std::allocator<Object*>&, unsigned long)
  0.00     14.35     0.00        4     0.00     0.00  void std::vector<Object*, std::allocator<Object*> >::_M_realloc_insert<Object*>(__gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >, Object*&&)
  0.00     14.35     0.00        4     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::begin()
  0.00     14.35     0.00        4     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     14.35     0.00        3     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00     14.35     0.00        2     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00     14.35     0.00        2     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> >::count() const
  0.00     14.35     0.00        1     0.00     0.00  createScene()
  0.00     14.35     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     14.35     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     14.35     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     14.35     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     14.35     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     14.35     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     14.35     0.00        1     0.00    10.01  render(double, double, std::vector<Object*, std::allocator<Object*> > const&, char*, Vec3 const&, Vec3 const&, Vec3 const&, double, int, int)
  0.00     14.35     0.00        1     0.00     0.00  img2rgb(unsigned int, unsigned int, double*)
  0.00     14.35     0.00        1     0.00     0.00  writePPM(char*, unsigned int, unsigned int, unsigned char*)
  0.00     14.35     0.00        1     0.00    10.01  Camera::Camera(Vec3 const&, Vec3 const&, Vec3 const&, double, double)
  0.00     14.35     0.00        1     0.00     0.00  Sphere::Sphere(Material*, double, Vec3 const&)
  0.00     14.35     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Object*>::new_allocator()
  0.00     14.35     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Object*>::~new_allocator()
  0.00     14.35     0.00        1     0.00     0.00  std::allocator<Object*>::allocator()
  0.00     14.35     0.00        1     0.00     0.00  std::allocator<Object*>::~allocator()
  0.00     14.35     0.00        1     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Object**>(Object**, Object**)
  0.00     14.35     0.00        1     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::_Vector_impl::_Vector_impl()
  0.00     14.35     0.00        1     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::_Vector_impl::~_Vector_impl()
  0.00     14.35     0.00        1     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::_Vector_impl_data::_Vector_impl_data()
  0.00     14.35     0.00        1     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::_Vector_base()
  0.00     14.35     0.00        1     0.00     0.00  std::_Vector_base<Object*, std::allocator<Object*> >::~_Vector_base()
  0.00     14.35     0.00        1     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<double, std::ratio<1l, 1l> > >::value, std::chrono::duration<double, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<double, std::ratio<1l, 1l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00     14.35     0.00        1     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> > std::chrono::__duration_cast_impl<std::chrono::duration<double, std::ratio<1l, 1l> >, std::ratio<1l, 1000000000l>, double, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00     14.35     0.00        1     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> >::duration<long, std::ratio<1l, 1000000000l>, void>(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00     14.35     0.00        1     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> >::duration<double, void>(double const&)
  0.00     14.35     0.00        1     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00     14.35     0.00        1     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00     14.35     0.00        1     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00     14.35     0.00        1     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::vector()
  0.00     14.35     0.00        1     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::~vector()
  0.00     14.35     0.00        1     0.00     0.00  void std::_Destroy<Object**>(Object**, Object**)
  0.00     14.35     0.00        1     0.00     0.00  void std::_Destroy<Object**, Object*>(Object**, Object**, std::allocator<Object*>&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
